dark eclipse moon
58. D:\Corpus\Solar_eclipse_of_May_18,_1901.txt score=0.4211176
59. D:\Corpus\Solar_eclipse_of_July_22,_2009.txt score=0.42077267
60. D:\Corpus\Solar_eclipse_of_April_16,_1893.txt score=0.42062756
61. D:\Corpus\Eclipse_chasers.txt score=0.4192363
62. D:\Corpus\Eclipse_chasing.txt score=0.4192363
63. D:\Corpus\Solar_eclipse_of_September_3,_2081.txt score=0.4192363
64. D:\Corpus\Solar_eclipse_of_August_12,_1654.txt score=0.41746673
65. D:\Corpus\Solar_eclipse_of_January_24,_1925.txt score=0.41743374
66. D:\Corpus\Solar_eclipse_of_November_23,_2003.txt score=0.41743374
67. D:\Corpus\Solar_eclipse_of_April_25,_1865.txt score=0.41717446
68. D:\Corpus\Solar_eclipse_of_April_6,_1875.txt score=0.41717446
69. D:\Corpus\Solar_eclipse_of_July_16,_2186.txt score=0.41682246
70. D:\Corpus\Solar_eclipse_of_April_30,_2060.txt score=0.41633675
71. D:\Corpus\Solar_eclipse_of_February_14,_1934.txt score=0.41633675
72. D:\Corpus\Solar_Saros_143.txt score=0.4161323
73. D:\Corpus\Solar_eclipse_of_January_14,_1907.txt score=0.41555354
74. D:\Corpus\Solar_eclipse_of_May_28,_1900.txt score=0.41424534
75. D:\Corpus\Solar_eclipse_of_July_8,_1842.txt score=0.41282126
76. D:\Corpus\Solar_eclipse_of_September_7,_1858.txt score=0.41190723
77. D:\Corpus\Solar_eclipse_of_July_5,_2168.txt score=0.41179115
78. D:\Corpus\Solar_eclipse_of_September_21,_1922.txt score=0.41179115
79. D:\Corpus\Solar_eclipse_of_July_9,_1945.txt score=0.41100794
80. D:\Corpus\Solar_eclipse_of_July_13,_2037.txt score=0.4099586
81. D:\Corpus\Solar_eclipse_of_June_19,_1936.txt score=0.4092504
82. D:\Corpus\Solar_eclipse_of_November_30,_1853.txt score=0.4088021
83. D:\Corpus\Solar_Saros_139.txt score=0.40872216
84. D:\Corpus\Solar_eclipse_of_June_26,_1824.txt score=0.40845674
85. D:\Corpus\List_of_solar_eclipses_visible_from_China.txt score=0.4077223
86. D:\Corpus\Solar_eclipse_of_August_1,_2008.txt score=0.40651673
87. D:\Corpus\Solar_eclipse_of_May_9,_1929.txt score=0.40616414
88. D:\Corpus\Solar_eclipse_of_May_6,_1883.txt score=0.40531594
89. D:\Corpus\Solar_eclipse_of_December_15,_2039.txt score=0.40365732
90. D:\Corpus\Solar_eclipse_of_January_16,_2075.txt score=0.40365732
91. D:\Corpus\Solar_eclipse_of_January_27,_2093.txt score=0.40365732
92. D:\Corpus\Solar_eclipse_of_October_10,_1912.txt score=0.40365732
93. D:\Corpus\Solar_eclipse_of_October_21,_1930.txt score=0.40365732
94. D:\Corpus\Solar_eclipse_of_August_7,_1869.txt score=0.4025195
95. D:\Corpus\Solar_eclipse_of_January_1,_1889.txt score=0.4025195
96. D:\Corpus\Solar_eclipse_of_August_2,_2046.txt score=0.40143096
97. D:\Corpus\Solar_eclipse_of_December_26,_2057.txt score=0.40143096
98. D:\Corpus\Solar_eclipse_of_September_23,_1699.txt score=0.40143096
99. D:\Corpus\Solar_eclipse_of_April_20,_2042.txt score=0.4011405
100. D:\Corpus\Solar_eclipse_of_January_22,_1898.txt score=0.40056008

================================================================================
japan continental airline
===========================
1. D:\Corpus\Aeroflot.txt score=0.17666464
2. D:\Corpus\Solar_eclipse_of_May_20,_2012.txt score=0.12493521
3. D:\Corpus\Novosibirsk.txt score=0.11244862
4. D:\Corpus\Concorde.txt score=0.10306701
5. D:\Corpus\Synchronous_grid_of_Continental_Europe.txt score=0.084893554
6. D:\Corpus\Heathrow_Airport.txt score=0.08480245
7. D:\Corpus\France.txt score=0.08341523
8. D:\Corpus\Solar_eclipse_of_July_22,_2009.txt score=0.078601636
9. D:\Corpus\Turkey.txt score=0.07364086
10. D:\Corpus\Slovenia.txt score=0.06641204
11. D:\Corpus\Solar_flare.txt score=0.057009917
12. D:\Corpus\Solar_flares.txt score=0.057009917
13. D:\Corpus\Earth.txt score=0.046055436
14. D:\Corpus\Indian_Ocean.txt score=0.045603257
15. D:\Corpus\International_Space_Station.txt score=0.04416982
16. D:\Corpus\Solar_eclipse_of_August_9,_1896.txt score=0.044091925
17. D:\Corpus\National_Diet_Library.txt score=0.04017155
18. D:\Corpus\Solar_eclipse_of_June_26,_1824.txt score=0.038972124
19. D:\Corpus\Solar_eclipse_of_October_14,_2004.txt score=0.038972124
20. D:\Corpus\Solar_eclipse_of_August_19,_1887.txt score=0.038580436
21. D:\Corpus\Human_history.txt score=0.037612375
22. D:\Corpus\Solar_eclipse_of_July_31,_1981.txt score=0.037140932
23. D:\Corpus\Bulgaria.txt score=0.03472373
24. D:\Corpus\Germany.txt score=0.03455688
25. D:\Corpus\Solar_eclipse_of_August_1,_2008.txt score=0.033384323
26. D:\Corpus\Hungary.txt score=0.032774657
27. D:\Corpus\Amasya.txt score=0.032210708
28. D:\Corpus\Tide.txt score=0.031522896
29. D:\Corpus\Hinode.txt score=0.0311777
30. D:\Corpus\Solar_eclipse_of_August_10,_1915.txt score=0.0311777
31. D:\Corpus\Solar_eclipse_of_July_20,_1944.txt score=0.0311777
32. D:\Corpus\Solar_eclipse_of_July_9,_1926.txt score=0.0311777
33. D:\Corpus\Solar_eclipse_of_May_19,_1985.txt score=0.0311777
34. D:\Corpus\Solar_eclipse_of_May_9,_1929.txt score=0.0311777
35. D:\Corpus\Solar_eclipse_of_May_9,_1948.txt score=0.0311777
36. D:\Corpus\Daguerreotype.txt score=0.029402977
37. D:\Corpus\Argentina.txt score=0.028215576
38. D:\Corpus\Quebec.txt score=0.027582534
39. D:\Corpus\Solar_eclipse_of_April_19,_1958.txt score=0.027280487
40. D:\Corpus\Solar_eclipse_of_December_2,_1937.txt score=0.027280487
41. D:\Corpus\Solar_eclipse_of_February_14,_1915.txt score=0.027280487
42. D:\Corpus\Solar_eclipse_of_February_14,_1934.txt score=0.027280487
43. D:\Corpus\Solar_eclipse_of_February_4,_1943.txt score=0.027280487
44. D:\Corpus\Solar_eclipse_of_February_5,_1962.txt score=0.027280487
45. D:\Corpus\Solar_eclipse_of_June_19,_1936.txt score=0.027280487
46. D:\Corpus\Solar_eclipse_of_September_10,_1923.txt score=0.027280487
47. D:\Corpus\Solar_eclipse_of_September_2,_2035.txt score=0.027280487
48. D:\Corpus\Solar_eclipse_of_September_21,_1941.txt score=0.027280487
49. D:\Corpus\Solar_eclipse_of_September_23,_1987.txt score=0.027280487
50. D:\Corpus\Russia.txt score=0.026856642
51. D:\Corpus\Solar_eclipse_of_August_12,_2045.txt score=0.026529236
52. D:\Corpus\Solar_eclipse_of_July_11,_2010.txt score=0.026262604
53. D:\Corpus\Yohkoh.txt score=0.023625595
54. D:\Corpus\Solar_eclipse_of_July_10,_1972.txt score=0.023383275
55. D:\Corpus\Solar_eclipse_of_June_20,_1955.txt score=0.023383275
56. D:\Corpus\Atlantic_Ocean.txt score=0.022974994
57. D:\Corpus\India.txt score=0.021634676
58. D:\Corpus\R%C3%A2mnicu_V%C3%A2lcea.txt score=0.021223389
59. D:\Corpus\Asia_Minor.txt score=0.020762412
60. D:\Corpus\Mursili%27s_eclipse.txt score=0.019486062
61. D:\Corpus\Solar_eclipse_of_July_20,_1963.txt score=0.019486062
62. D:\Corpus\Exploration_of_the_Moon.txt score=0.019092366
63. D:\Corpus\Chita,_Zabaykalsky_Krai.txt score=0.018570466
64. D:\Corpus\List_of_lunar_features.txt score=0.018570466
65. D:\Corpus\Solar_astronomy.txt score=0.01840612
66. D:\Corpus\Sun.txt score=0.01840612
67. D:\Corpus\United_Kingdom.txt score=0.018084027
68. D:\Corpus\List_of_missions_to_the_Moon.txt score=0.016875427
